"Item Name
",Short Name,Knight,Warrior,Paladin,Assassin,Rogue,Trickster,Archer,Huntress,Mystic,Wizard,Necromancer,Ninja,Samurai,Priest,Sorcerer,Bard,Summoner,Kensei
Warmonger,,25,25,25,25,25,25,35,35,25,25,25,25,25,25,25,35,25,25
Peacekeeper,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35,25
Noble Mandolin,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35,25,25
Nameless sorcerer skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Black Hellhound Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Flying Eyeball Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Infested Assasin Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vicious Phantom Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Titanium Rex Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Possessed Staff Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Useless Katana,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
mini nikao pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Miss Shamrock Wizard Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Leprechaun's Walking Hat Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Green Hat Bunny Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mini Pot of Gold Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Painbow,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prismatic Slasher,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rainbow Rod,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Staff of the Saint,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sword Of The Rainbow's End,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Clover Bow,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Katana of Good Fortune,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Clover Star,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Chrysalis of Eternity,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Great Shinobi Sheath,T6 Sheath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Sonic Wave Sheath,T7 Sheath,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30
Volcanic Sheath,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15
Kaiken,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20
Labyrinth Dweller's Sheath,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25
Quartermaster Scabbard,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Irradiance Sheath,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18
Saif of the Deep,,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,20
Loch Sheath,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18
Barrier Reef,,15,15,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10,20
Alexander's Band,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15
Amulet of Elemental Fire,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amulet of Elemental Earth,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amulet of Elemental Air,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Amulet of Elemental Water,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Elemental Equilibrium,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Arashi,,20,20,20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,30
Tsunami,,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20
Ignis,,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Tectonus,,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Lil' Thunderbringer Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lil' Mister Backstage Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lil' Deep Sea Diva Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lil' Rad Raver Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vampire Lord Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sunken Fire Opal Ring,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fractured Hannya,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Faded Heart Scarab,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Woodland Robe,,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1
Bloodshed Blades,t12 dual blades,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Moonstone Blades,t13 dual blades,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10
Soulforged Blades,t14 dual blades,15,15,15,25,25,25,15,15,15,15,15,15,15,15,15,15,15,15
Earthen Ward,,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,20,10
Stonemould Mace,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,13
Rocky Robe,,10,10,10,10,10,10,10,10,15,15,15,10,10,15,15,15,20,10
Steadfast Glyph,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10
Skyslash Tachi,t12 tachi,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5
Sunset Tachi,t13 tachi,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20
Godslayer Tachi,t14 tachi,15,15,15,15,15,15,15,15,15,15,15,25,25,15,15,15,15,25
Barnacle Basher,,50,50,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Celebrant Flail,t12 flail,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divine Flail,t13 flail,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gravelord's Flail,t14 flail,25,25,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Spellblade of the Sun,t12 spellblade,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
Spellblade of the Heavens Light,t13 spellblade,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10
Spellblade of the Everlasting Death,t14 spellblade,15,15,15,15,15,15,15,15,25,25,25,15,15,15,15,15,15,15
Longbow of the Endless Sky,t12 longbow,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0
Longbow of the Morning Spirit,t13 longbow,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Longbow of Midnight Diamond,t14 longbow,15,15,15,15,15,15,25,25,15,15,15,15,15,15,15,25,15,15
Morning Star of Repentance,t12 morning star,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0
Morning Star of Conjuration,t13 morning star,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,10
Morning Star of Reckoning,t14 morning star,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,15,25,15
Hama Yumi,,35,35,35,35,35,35,50,50,35,35,35,35,35,35,35,50,35,35
Fractal Blades,,20,20,20,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20
Beekeeper's Flamethrower,Flamethrower,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,30,20
Crystallized Worm Spellblade,,20,20,20,20,20,20,20,20,30,30,30,20,20,20,20,20,20,20
Burial Blades,,20,20,20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,30
Light Syndicate Attire,,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Frangible Longbow,,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15
Skelly Penguin Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Wanderer's Cape,,0,0,0,0,0,0,0,0,5,5,5,0,0,5,5,5,5,0
Pirate Queen's Brigandine,,0,0,0,5,5,5,5,5,0,0,0,5,0,0,0,0,0,0
Rusted Barrel,,20,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Heavy Syndicate Attire,,20,20,20,15,15,15,15,15,15,15,15,15,20,15,15,15,15,20
Ritual Kopesh,Ritual Khopesh,15,15,15,15,15,15,15,15,15,15,15,20,20,15,15,15,15,20
Mystic Syndicate Attire,,15,15,15,15,15,15,15,15,20,20,20,15,15,20,20,20,20,15
Lil' Davy Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fiery Katana,,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,20
Pyro Sheath,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18
Flame Guard,,15,15,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10,20
Firelight Necklace,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15
Lady of Locks Ninja Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hailstorm,,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,20,10,10
Thundering Chorus,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,13,13
Wind Dancer Robe,,10,10,10,10,10,10,10,10,15,15,15,10,15,15,15,20,10,10
Augur of the Tempest,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15
Gilded Chain Scythe,,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Huntsman's Volley,,20,20,20,20,20,20,25,20,20,20,20,20,20,20,20,20,20,20
Royal Sekhem,,15,15,15,15,15,15,15,15,20,20,20,15,15,15,15,15,15,15
Carnivorous Plant Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fame Bonus Traveler,FB Traveler,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fame Bonus Mapper,FB Mapper,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Explorer,FB Explorer,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Fame Bonus Cartographer,FB Cartographer,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fame Bonus Map Maker,FB Map Maker,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Fame Bonus Tunnel Rat,FB Tunnel Rat,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Explosive Journey,FB Explosive Journey,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Travel of the Decade,FB Travel of the Decade,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus First Steps,FB First Steps,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Fame Bonus King of the Mountains,FB King of the Mountains,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Conqueror of the Realm,FB Conqueror of the Realm,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Fame Bonus Enemy of the Court,FB Enemy of the Court,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Epic Battles,FB Epic Battles,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fame Bonus Far Out,FB Far Out,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fame Bonus Hero of the Nexus,FB Hero of the Nexus,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Rare Pet Egg Drop,Rare Pet Egg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Legendary Pet Egg Drop,Legendary Pet Egg,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Obsidian Macuahuitl,,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,15,20,15
Blitz Sheath,oryx sheath,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25
Wise Swine Knight Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Storm Caller,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20
Lethargic Sentience,,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,15,10
Inari Sorcerer Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fiery Phylactery Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Paper Machete,April Fools Sheathe,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
Lullaby,April Fools Lute,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5
Pirate's Sidearms,,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10
Shadow Stormbird Pet Skin,Shadow Stormbird,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ferret Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Precisely Calibrated Stringstick,,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,15,10,10
Mini Royal Crossbowman Archer Skin,Shatts archer skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sentinel Watchdog pet skin,Sentinel dog skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Royal Void Cat pet skin,King cat,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Unstable Anomaly,,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Toy Knife,,10,10,10,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10
Barely Attuned Magic Thingy,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Mini Fire Warlock Wizard Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blizzard pet skin,htt pet,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scallyway Slurp pet skin,Pcave Pet,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sapling Buddy pet skin,Forest maze pet,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TV Buddy Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mushroom girl rogue skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Crystal Cobra pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Shroom Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Moon Bunny Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Wandering Spellcaster Bard Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Shroom Warrior Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wanderer Samurai Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Keyper paladin skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dragon skull necromancer skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vermillion dragon pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mini Ivory Wyvern Trickster,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Time Travelling phonebox pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mini void entity pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Hero Paladin skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Grand Enchantress Mystic skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Storm Archer Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nightstalker elf assasin skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Malus pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mini pegasus pet skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Plague Doctor Priest Set Token,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Cane of Caduceus,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,15,10,15,10
Bloodletting Leeches,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10
Doctor's Overcoat,Doctors Overcoat,10,10,10,10,10,10,10,10,10,15,15,10,10,20,15,10,15,10
Plague Mask,,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6
Killbilly Warrior Set Token,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jagged Hatchet,,15,20,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burlap Cowl,,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Overalls of Endurance,,15,20,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Headless Ted,,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Alchemist Assassin Set Token,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toxic Toad,,10,10,10,20,15,15,10,10,10,10,10,10,10,10,10,10,10,10
Makeshift Blowpipe,,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Alchemist's Disheveled Garbs,,10,10,10,20,15,15,15,15,10,10,10,15,10,10,10,10,10,10
Protective Gloves,,6,6,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Shaman Necromancer Set Token,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Shaman's Staff,,10,10,10,10,10,10,10,10,15,15,20,10,10,10,10,10,10,10
Ritual Skull,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
Ragged Robes,,10,10,10,10,10,10,10,10,15,15,20,10,10,10,10,10,10,10
Fang Necklace,,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6
Soul Gem Amulet,,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6
Resurrected Huntress Set Token,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Bolt Thrower,,10,10,10,10,10,10,15,20,10,10,10,10,10,10,10,15,10,10
Lightning Rod,,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
Wedding Dress,,10,10,10,15,15,15,15,20,10,10,10,15,10,10,10,10,10,10
Gothic Bouffant,,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6,6,6,6
Onmyoji Ninja Set Token,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Shakujo,,10,10,10,10,10,10,10,10,10,10,10,20,15,10,10,10,10,15
Invocation Scroll,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10
Divination Cloak,,10,10,10,15,15,15,15,15,10,10,10,20,10,10,10,10,10,10
Omamori,,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6
Swamped Panda,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sulfuric Stone,,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10
Thistleleaf Necklace,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Warped Mantle,,15,15,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10
Bogwood Crook,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Brambletooth Tachi,,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,15
Kogbold Maid Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Kogbold Enhancement Core,Enhancement Core,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Clockwork Repeater,Enhanced Doom Bow,20,20,20,20,20,20,25,25,20,20,20,20,20,20,20,25,20,20
Mechanical Kogbold Limb,Enhanced Tail,30,30,30,30,30,30,30,30,35,35,35,30,30,30,30,30,30,30
Atavistic Soul Sabre,Enhanced ASS,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Socket Blade,Enhanced Void Blade,20,20,20,20,20,20,20,20,20,20,20,25,25,20,20,20,20,25
Laser Pointer,Steamworks Wand,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,30,20
Chain Dagger,Steamworks Dagger,20,20,20,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20
Brain Cube,Steamworks Skull,20,20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20,20
Scepter of Rust,Steamworks Sceptre,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,20,20,20
Kogbold Cower Shield,Steamworks Shield,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Steam Pipe,Steamworks Spellblade,20,20,20,20,20,20,20,20,30,30,30,20,20,20,20,20,20,20
Overclocking Amulet,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Concentrated Soul Fire,Moonlight flame,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fortitude,Enhanced Bulwark,30,30,30,30,30,30,30,30,30,30,30,30,30,35,35,30,35,30
Mischief,Enhanced Spirit Dagger,25,25,25,30,30,30,25,25,25,25,25,25,25,25,25,25,25,25
Vigor,Enhanced Spirit Staff,25,25,25,25,25,25,25,25,30,30,30,25,25,25,25,25,25,25
Kagenohikari,Blue Lantern,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Tezutsu Hanabi,Moonlight Sceptre,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35,25,25,25
Makakoyumi,Moonlight Bow,25,25,25,25,25,25,35,35,25,25,25,25,25,25,25,35,25,25
Elegant Parasol,Moonlight Sheathe,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35
Taiko Drums,Moonlight Lute,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,35,25,25
Rain Maker,Moonlight Trap,25,25,25,25,25,25,25,35,25,25,25,25,25,25,25,25,25,25
Flowering Kimono,Moonlight Robe,25,25,25,25,25,25,25,25,35,35,35,25,25,35,35,35,35,25
Ethereal Happi,Moonlight Leather,25,25,25,35,35,35,35,35,25,25,25,35,25,25,25,25,25,25
Sage's Wakibiki,Moonlight Heavy,35,35,35,25,25,25,25,25,25,25,25,25,35,25,25,25,25,25
Shiny Divinity,Shiny Div,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Shiny Lumiaire,Shiny Lumi,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,30,40,30
Shiny Superior,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Shiny Enforcer,,30,30,30,30,30,30,30,30,30,30,30,40,40,30,30,30,30,40
Shiny Avarice,Shiny Ava,30,30,30,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30
Shiny Bow of the Void,Shiny Void Bow,30,30,30,30,30,30,40,40,30,30,30,30,30,30,30,40,30,30
Shiny Hivemaster Helm,Shiny Bee Helm,30,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Shiny Laser Pointer,,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,30,40,30
Shiny The Twilight Gemstone,Shiny Gem,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Shiny Star of Enlightenment,Shiny Enlightenment Star,30,30,30,30,30,30,30,30,30,30,30,40,30,30,30,30,30,30
Shiny Doom Bow,Shiny Dbow,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15
Shiny Cloak of the Planewalker,Shiny Planewalker,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15
Shiny Crystal Sword,Shiny Csword,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Shiny Robe of the Mad Scientist,Shiny Madlab Robe,15,15,15,15,15,15,15,15,20,20,20,15,15,20,20,20,20,15
Shiny Tome of Purification,Shiny Puri,15,15,15,15,15,15,15,15,15,15,15,15,15,20,15,15,15,15
Shiny Kendo Stick,Shiny Kendo,100,100,100,100,100,100,100,100,100,100,100,105,105,100,100,100,100,105
Shiny Beekeeper's Flamethrower,Shiny Flamethrower,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,30,40,30
Shiny Scepter of Devastation,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,25,25,25
Shiny Penetrating Blast Spell,Shiny Thicket Spell,20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20,20,20
Shiny Tome of Holy Protection,Shiny Prot,20,20,20,20,20,20,20,20,20,20,20,20,20,30,20,20,20,20
Amulet of Lightning,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Forsythia Chihuahua Sorcerer Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Primula Greyhound Kensei Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Plague Summoner Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bone Blade Ninja Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Spectral Mystic Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Abyssal Crab Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spectral Raven Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Beach Party Necromancer Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Token of Warmth,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Token of Happiness,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Intermediate Fishing Rod,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Expert Fishing Rod,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Master Fishing Rod,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Legendary Fishing Rod,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wicked Dragon Wizard Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Limon Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
